"partido_coalicion","candidatura","distrito","circunscripcion","num_lista_o_formula","nombre_candidato","edad","genero","propuesta_1","propuesta_2","propuesta_genero","prop_c"
"PARTIDO ACCIÓN NACIONAL","DIPUTACIÓN FEDERAL MR","1-SANTA CATARINA",2,3799,"HECTOR ISRAEL CASTILLO OLIVARES",46,"HOMBRE","Crear una Comisión Ambiental para las Zonas Metropolitanas del Norte","Recuperación de Fondos en materia de Seguridad (Fortaseg) y  el Fondo Metropolitano con reglas de operación etiquetadas para la movilidad integral.","Implementar estrategias para erradicar la violencia de género que contemplen reformas y presupuesto etiquetado para tal fin","Crear una Comisión Ambiental para las Zonas Metropolitanas del Norte Recuperación de Fondos en materia de Seguridad (Fortaseg) y  el Fondo Metropolitano con reglas de operación etiquetadas para la movilidad integral. Implementar estrategias para erradicar la violencia de género que contemplen reformas y presupuesto etiquetado para tal fin"
"PARTIDO REVOLUCIONARIO INSTITUCIONAL","DIPUTACIÓN FEDERAL MR","1-SANTA CATARINA",2,3308,"VERA GARCIA HINOJOSA",50,"MUJER","Mis principales propuestas son en en tema de salud, tener más medicamentos, vacunas y mas centros de salud físicos y mentales. en temas de economía quiero impactar el bolsillo de las familias neolonesas.","Tema de seguridad, protección a la mujer y que los ciudadanos puedan caminar por las calles sin miedo.","Prevenir, Sancionar y Erradicar de toda forma la violencia hacia las niñas, niños y mujeres de nuestro estado, brindándoles el apoyo jurídico y económico que requieran para su protección.","Mis principales propuestas son en en tema de salud, tener más medicamentos, vacunas y mas centros de salud físicos y mentales. en temas de economía quiero impactar el bolsillo de las familias neolonesas. Tema de seguridad, protección a la mujer y que los ciudadanos puedan caminar por las calles sin miedo. Prevenir, Sancionar y Erradicar de toda forma la violencia hacia las niñas, niños y mujeres de nuestro estado, brindándoles el apoyo jurídico y económico que requieran para su protección."
"PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA","DIPUTACIÓN FEDERAL MR","1-SANTA CATARINA",2,4714,"JACOB DE JOSE REYNA GALVAN",27,"HOMBRE","Es muy importante impulsar el desarrollo sustentable y las energías limpias, por lo que me interesa mucho que el sector privado tenga la facilidad de conseguir energías limpias y establecer medidas fiscales de fomento de la eficiencia energética y energías renovables estas. No solo el sector privado, también impulsar a entidades de gobierno para facilitar el acceso a energías limpias. Cerrando con desarrollo de campañas de sensibilización, formación y fomento de la cultura energética.","En la rama de seguridad implementar cámaras policíacas en patrullas y corporales para evitar corrupción al mismo tiempo protegiendo al ciudadano y al funcionario usándose como evidencia, teniéndose en cuenta que cualquier obstrucción a la cámara puede ser sancionada.","","Es muy importante impulsar el desarrollo sustentable y las energías limpias, por lo que me interesa mucho que el sector privado tenga la facilidad de conseguir energías limpias y establecer medidas fiscales de fomento de la eficiencia energética y energías renovables estas. No solo el sector privado, también impulsar a entidades de gobierno para facilitar el acceso a energías limpias. Cerrando con desarrollo de campañas de sensibilización, formación y fomento de la cultura energética. En la rama de seguridad implementar cámaras policíacas en patrullas y corporales para evitar corrupción al mismo tiempo protegiendo al ciudadano y al funcionario usándose como evidencia, teniéndose en cuenta que cualquier obstrucción a la cámara puede ser sancionada. "
"PARTIDO DEL TRABAJO","DIPUTACIÓN FEDERAL MR","1-SANTA CATARINA",2,4685,"PEDRO NORIEGA HELLIG",66,"HOMBRE","Obligaciones  financieras y fiscales","Trasparencia Total","Implementar y favorecer Políticas públicas a favor de estos grupos
","Obligaciones  financieras y fiscales Trasparencia Total Implementar y favorecer Políticas públicas a favor de estos grupos
"
"PARTIDO VERDE ECOLOGISTA DE MÉXICO","DIPUTACIÓN FEDERAL MR","1-SANTA CATARINA",2,5080,"GABRIELA ELIZONDO MONTEMAYOR",29,"MUJER","Gestionar recursos para la formación de un programa de apoyo a micro y pequeñas empresas para mitigar los efectos de la pandemia. Presentar al Congreso Federal una iniciativa de reforma a la Constitución Política de los Estados Unidos Mexicanos que migre la situación legal actual de los animales en su calidad de bienes muebles  a la de seres sintientes. Prohibir la venta informal de animales en nuestro país.","Exigir la instalación de lactarios dignos en todos los centros comerciales y de trabajo en todo el país.  Legislar sobre el -home office. Impulsar como prioridad el uso de energías limpias y renovables","Fomentaré la creación de más refugios para mujeres y sus hijos, víctimas de violencia familiar.

ACCIONES
Adoptar y cumplir las leyes para poner fin a la impunidad, juzgar a los culpables de violencia contra las mujeres y las niñas, así como otorgar reparaciones y soluciones a las mujeres por las violaciones que fueron víctimas, para lo cual el gobierno deberá adaptar un enfoque de transformación en lo relativo a las reparaciones para las familias de las mujeres, víctimas de cualquier forma de violencia. 
Crear planes nacionales y locales de acción para poner fin a la violencia contra las mujeres y las niñas en todos los estados de la República Mexicana, que logren reunir al gobierno, las organizaciones de mujeres y a otras organizaciones de la sociedad civil, a los medios de comunicación y al sector privado en un frente coordinado y colectivo que luche contra dichas violaciones a los derechos humanos. 
Hacer que la justicia sea accesible para mujeres y niñas, brindándoles servicios jurídicos y especializados gratuitos y aumentando la cantidad de mujeres policías y en los principales servicios públicos.
Garantizar el acceso universal a los servicios esenciales, mediante líneas de emergencia gratuitas que trabajen 24 horas, contando con intervenciones rápidas para su seguridad y protección, con viviendas y refugios seguros para ellas y sus hijos, con seguimiento y apoyo psicosocial, con cuidados post violación y con ayuda jurídica para la comprensión de sus derechos y opciones. 
Fortalecer la red nacional de refugios para mujeres víctimas de violencia
","Gestionar recursos para la formación de un programa de apoyo a micro y pequeñas empresas para mitigar los efectos de la pandemia. Presentar al Congreso Federal una iniciativa de reforma a la Constitución Política de los Estados Unidos Mexicanos que migre la situación legal actual de los animales en su calidad de bienes muebles  a la de seres sintientes. Prohibir la venta informal de animales en nuestro país. Exigir la instalación de lactarios dignos en todos los centros comerciales y de trabajo en todo el país.  Legislar sobre el -home office. Impulsar como prioridad el uso de energías limpias y renovables Fomentaré la creación de más refugios para mujeres y sus hijos, víctimas de violencia familiar.

ACCIONES
Adoptar y cumplir las leyes para poner fin a la impunidad, juzgar a los culpables de violencia contra las mujeres y las niñas, así como otorgar reparaciones y soluciones a las mujeres por las violaciones que fueron víctimas, para lo cual el gobierno deberá adaptar un enfoque de transformación en lo relativo a las reparaciones para las familias de las mujeres, víctimas de cualquier forma de violencia. 
Crear planes nacionales y locales de acción para poner fin a la violencia contra las mujeres y las niñas en todos los estados de la República Mexicana, que logren reunir al gobierno, las organizaciones de mujeres y a otras organizaciones de la sociedad civil, a los medios de comunicación y al sector privado en un frente coordinado y colectivo que luche contra dichas violaciones a los derechos humanos. 
Hacer que la justicia sea accesible para mujeres y niñas, brindándoles servicios jurídicos y especializados gratuitos y aumentando la cantidad de mujeres policías y en los principales servicios públicos.
Garantizar el acceso universal a los servicios esenciales, mediante líneas de emergencia gratuitas que trabajen 24 horas, contando con intervenciones rápidas para su seguridad y protección, con viviendas y refugios seguros para ellas y sus hijos, con seguimiento y apoyo psicosocial, con cuidados post violación y con ayuda jurídica para la comprensión de sus derechos y opciones. 
Fortalecer la red nacional de refugios para mujeres víctimas de violencia
"
"MOVIMIENTO CIUDADANO","DIPUTACIÓN FEDERAL MR","1-SANTA CATARINA",2,4921,"THELMA CORA GARZA SALINAS",56,"MUJER","Ley de Justicia Cívica","Energías Renovables","Protección a los menores y a la mujer en materia económica, al momento de una separación y hasta que el proceso legal termine.","Ley de Justicia Cívica Energías Renovables Protección a los menores y a la mujer en materia económica, al momento de una separación y hasta que el proceso legal termine."
"MORENA","DIPUTACIÓN FEDERAL MR","1-SANTA CATARINA",2,5503,"GERARDO JAVIER GARZA SALINAS",72,"HOMBRE","SEGUIREMOS TRABAJANDO EN LEYES QUE GARANTICEN LA SEGURIDAD Y PACIFICACIÓN DEL PAÍS.","LEGISLAR PARA ASÍ CONTRIBUIR A LA CONSOLIDACIÓN DE LA 4TA TRANSFORMACIÓN.","FORTALECER EL MARCO JURÍDICO EN MATERIA DE VIOLENCIA DE GÉNERO.","SEGUIREMOS TRABAJANDO EN LEYES QUE GARANTICEN LA SEGURIDAD Y PACIFICACIÓN DEL PAÍS. LEGISLAR PARA ASÍ CONTRIBUIR A LA CONSOLIDACIÓN DE LA 4TA TRANSFORMACIÓN. FORTALECER EL MARCO JURÍDICO EN MATERIA DE VIOLENCIA DE GÉNERO."
"PARTIDO ENCUENTRO SOLIDARIO","DIPUTACIÓN FEDERAL MR","1-SANTA CATARINA",2,4824,"MONICA GABRIELA GONZALEZ MENDEZ",54,"MUJER","MÁS Y MEJORES INSTALACIONES EDUCATIVAS. APROVECHAMIENTO INTEGRAL. AUMENTAR EL PRESUPUESTO FEDERAL PARA LA CONSTRUCCIÓN DE MÁS Y MEJORES INSTALACIONES EDUCATIVAS.","PROMOVER UNA LEY NACIONAL DE EMPRENDIMIENTO QUE FOMENTE LA FORMACIÓN DE JÓVENES EMPRENDEDORES CON LA FINALIDAD DE OTORGARLES APOYOS, SUBSIDIOS Y BENEFICIOS TRIBUTARIOS PARA CREAR EMPRESAS Y GENERAR EMPLEOS, PARA LA PROMOCIÓN DE CAPACIDADES, PARA SU CAPACITACIÓN, PARA EL DESARROLLO DE TALENTO Y MATERIALIZAR INICIATIVAS EMPRESARIALES Y TECNOLÓGICAMENTE INNOVADORAS.","INCREMENTO DE PENA POR VIOLENCIA DOMÉSTICA Y PROMOVER A TRAVÉS DEL INSTITUTO DE LAS MUJERES UN SISTEMA DE ASISTENCIA DE SALUD REPRODUCTIVA QUE PERMITAN A LAS MUJERES ACCEDER A LOS ESQUEMAS DE PLANIFICACIÓN FAMILIAR, SEGUIMIENTO MÉDICO Y ATENCIÓN MATERNA, DONDE SE REPRESENTEN LOS DERECHOS Y COSTUMBRES DE CADA REGIÓN DEL PAÍS.","MÁS Y MEJORES INSTALACIONES EDUCATIVAS. APROVECHAMIENTO INTEGRAL. AUMENTAR EL PRESUPUESTO FEDERAL PARA LA CONSTRUCCIÓN DE MÁS Y MEJORES INSTALACIONES EDUCATIVAS. PROMOVER UNA LEY NACIONAL DE EMPRENDIMIENTO QUE FOMENTE LA FORMACIÓN DE JÓVENES EMPRENDEDORES CON LA FINALIDAD DE OTORGARLES APOYOS, SUBSIDIOS Y BENEFICIOS TRIBUTARIOS PARA CREAR EMPRESAS Y GENERAR EMPLEOS, PARA LA PROMOCIÓN DE CAPACIDADES, PARA SU CAPACITACIÓN, PARA EL DESARROLLO DE TALENTO Y MATERIALIZAR INICIATIVAS EMPRESARIALES Y TECNOLÓGICAMENTE INNOVADORAS. INCREMENTO DE PENA POR VIOLENCIA DOMÉSTICA Y PROMOVER A TRAVÉS DEL INSTITUTO DE LAS MUJERES UN SISTEMA DE ASISTENCIA DE SALUD REPRODUCTIVA QUE PERMITAN A LAS MUJERES ACCEDER A LOS ESQUEMAS DE PLANIFICACIÓN FAMILIAR, SEGUIMIENTO MÉDICO Y ATENCIÓN MATERNA, DONDE SE REPRESENTEN LOS DERECHOS Y COSTUMBRES DE CADA REGIÓN DEL PAÍS."
"REDES SOCIALES PROGRESISTAS","DIPUTACIÓN FEDERAL MR","1-SANTA CATARINA",2,4174,"DAVID GUSTAVO TOACHE MALDONADO",30,"HOMBRE","SALUD PARA TODOS: PRIMERO ES IMPULSAR LAS INICIATIVAS QUE COMO CIUDADANO COLABORÉ AL CONGRESO Y HAN QUEDADO CONGELADAS. HOY EN DÍA MÉXICO ES EL SEGUNDO PAÍS CON SOBRE PESO Y OBESIDAD, NUEVO LEÓN POR SU PARTE ES DE LOS PRIMEROS LUGARES EN OBESIDAD INFANTIL, ES NECESARIO RETOMAR LAS INICIATIVAS QUE REFORMEN LA LEY DE SOBREPESO Y OBESIDAD DEL ESTADO, PARA QUE SE LLEVE UNA MATERIA DE ORIENTACIÓN ALIMENTARIA FORMAL POR EXPERTOS EN SALUD EN PRIMARIA Y SECUNDARIA, ASÍ MISMO AÑO CON AÑO ES INDISPENSABLE DERIVAR RECURSO A PROGRAMAS PREVENTIVOS DE SOBREPESO Y OBESIDAD, PROMOCIONAR LA IMPORTANCIA DE LA PREVENCIÓN EN LOS CENTROS DE SALUD, COLONIAS, TERCER Y SEGUNDO NIVEL DE ATENCIÓN. ES IMPORTANTE QUE EL PRESUPUESTO DE EGRESOS E INGRESOS DE CADA AÑO SE BUSQUE PARTIDA PARA PROGRAMAS DE DIABETES, ENFERMEDADES CARDIOVASCULARES E HIPERTENSIÓN, HAY QUE PASAR DEL MODELO CURATIVO, AL PREVENTIVO, ASÍ COMO ASIGNAR RECURSO NECESARIO PARA MEDICAMENTO, PARA QUE NO EXISTA EL DESBASTÓ CONSTANTE DENTRO DE LAS INSTITUCIONES Y SUPERVISAR QUE EL PRESUPUESTO DE SALUD, DE MEDICAMENTOS SE USE PARA LO QUE ES, DE NO SER ASÍ EXISTAN LAS MULTAS COMPETENTES A ESTO.","DIGNIFICAR LOS SUELDOS A LOS PROFESIONISTAS Y LAS CONDICIONES DE TRABAJO: MÉXICO ES DE LOS PAÍSES QUE MÁS HORAS TRABAJA Y CON LOS SUELDOS MÁS BAJOS SEGÚN LA OCDE. LAS CARGAS DE TRABAJO REPERCUTEN EN ESTRÉS LABORAL, UNO DE CADA TRES PERSONAS SUFREN DE ESTRÉS LABORAL, LO CUAL SE REFLEJA EN 80000 MIL PROBLEMAS CARDIOVASCULARES AL AÑO, LIGADOS A ESTRÉS LABORAL. HOY EN DÍA TENEMOS LA NOM -035 DE FACTORES PSICOSOCIALES QUE SU FUNCIÓN ES REGULAR EL ESTRÉS LABORAL, DIGNIFICAR LOS AMBIENTES DE TRABAJO Y MULTAR A LOS PATRONES SI SU PERSONAL PRESENTA ESTRÉS DERIVADO A LO LABORAL, HAY QUE HACER QUE LA NORMATIVA SE CUMPLA Y NO SE QUEDE SOLO EN PAPEL. POR OTRO LADO TENEMOS LOS SUELDOS DE PROFESIONISTAS QUE NO VAN ACORDE A SU NIVEL DE ESTUDIO NI SU DESEMPEÑÓ E IMPACTO SOCIAL. HOY EN DÍA EN MÉXICO EL ENFERMERO, EL NUTRIÓLOGO, UN PROFESOR GANAN COMO SI TUVIERAN CARRERAS TÉCNICAS, HAY QUE TRABAJAR EN EQUIPO DESDE EL LEGISLATIVO, SENADO, EJECUTIVO Y LAS INSTITUCIONES PARA TABULAR LOS SUELDOS","Igualdad para todos","SALUD PARA TODOS: PRIMERO ES IMPULSAR LAS INICIATIVAS QUE COMO CIUDADANO COLABORÉ AL CONGRESO Y HAN QUEDADO CONGELADAS. HOY EN DÍA MÉXICO ES EL SEGUNDO PAÍS CON SOBRE PESO Y OBESIDAD, NUEVO LEÓN POR SU PARTE ES DE LOS PRIMEROS LUGARES EN OBESIDAD INFANTIL, ES NECESARIO RETOMAR LAS INICIATIVAS QUE REFORMEN LA LEY DE SOBREPESO Y OBESIDAD DEL ESTADO, PARA QUE SE LLEVE UNA MATERIA DE ORIENTACIÓN ALIMENTARIA FORMAL POR EXPERTOS EN SALUD EN PRIMARIA Y SECUNDARIA, ASÍ MISMO AÑO CON AÑO ES INDISPENSABLE DERIVAR RECURSO A PROGRAMAS PREVENTIVOS DE SOBREPESO Y OBESIDAD, PROMOCIONAR LA IMPORTANCIA DE LA PREVENCIÓN EN LOS CENTROS DE SALUD, COLONIAS, TERCER Y SEGUNDO NIVEL DE ATENCIÓN. ES IMPORTANTE QUE EL PRESUPUESTO DE EGRESOS E INGRESOS DE CADA AÑO SE BUSQUE PARTIDA PARA PROGRAMAS DE DIABETES, ENFERMEDADES CARDIOVASCULARES E HIPERTENSIÓN, HAY QUE PASAR DEL MODELO CURATIVO, AL PREVENTIVO, ASÍ COMO ASIGNAR RECURSO NECESARIO PARA MEDICAMENTO, PARA QUE NO EXISTA EL DESBASTÓ CONSTANTE DENTRO DE LAS INSTITUCIONES Y SUPERVISAR QUE EL PRESUPUESTO DE SALUD, DE MEDICAMENTOS SE USE PARA LO QUE ES, DE NO SER ASÍ EXISTAN LAS MULTAS COMPETENTES A ESTO. DIGNIFICAR LOS SUELDOS A LOS PROFESIONISTAS Y LAS CONDICIONES DE TRABAJO: MÉXICO ES DE LOS PAÍSES QUE MÁS HORAS TRABAJA Y CON LOS SUELDOS MÁS BAJOS SEGÚN LA OCDE. LAS CARGAS DE TRABAJO REPERCUTEN EN ESTRÉS LABORAL, UNO DE CADA TRES PERSONAS SUFREN DE ESTRÉS LABORAL, LO CUAL SE REFLEJA EN 80000 MIL PROBLEMAS CARDIOVASCULARES AL AÑO, LIGADOS A ESTRÉS LABORAL. HOY EN DÍA TENEMOS LA NOM -035 DE FACTORES PSICOSOCIALES QUE SU FUNCIÓN ES REGULAR EL ESTRÉS LABORAL, DIGNIFICAR LOS AMBIENTES DE TRABAJO Y MULTAR A LOS PATRONES SI SU PERSONAL PRESENTA ESTRÉS DERIVADO A LO LABORAL, HAY QUE HACER QUE LA NORMATIVA SE CUMPLA Y NO SE QUEDE SOLO EN PAPEL. POR OTRO LADO TENEMOS LOS SUELDOS DE PROFESIONISTAS QUE NO VAN ACORDE A SU NIVEL DE ESTUDIO NI SU DESEMPEÑÓ E IMPACTO SOCIAL. HOY EN DÍA EN MÉXICO EL ENFERMERO, EL NUTRIÓLOGO, UN PROFESOR GANAN COMO SI TUVIERAN CARRERAS TÉCNICAS, HAY QUE TRABAJAR EN EQUIPO DESDE EL LEGISLATIVO, SENADO, EJECUTIVO Y LAS INSTITUCIONES PARA TABULAR LOS SUELDOS Igualdad para todos"
"FUERZA POR MÉXICO","DIPUTACIÓN FEDERAL MR","1-SANTA CATARINA",2,5376,"LINDA AURORA PERALES LEAL",32,"MUJER","Disminuir la violencia contra las mujeres y grupos vulnerables.","Dar oportunidad a la juventud de integrarse al sector económico del país con un primer empleo bien remunerado.","Disminuir la discriminación hacia los grupos vulnerables del país.","Disminuir la violencia contra las mujeres y grupos vulnerables. Dar oportunidad a la juventud de integrarse al sector económico del país con un primer empleo bien remunerado. Disminuir la discriminación hacia los grupos vulnerables del país."
